#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2455 2.9417E-04 1.0137E-04  -2.30   0.60 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=12.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 202  0.806924  3.7316  3.0959  1.1288  3.4478  2.4290  1.9509  1.7735  1.6971
 203  0.807079  3.7311  3.0773  1.1455  3.4111  2.3890  1.9096  1.7315  1.6545
 204  0.807231  3.7307  3.0586  1.1626  3.3728  2.3479  1.8674  1.6885  1.6111
 205  0.807378  3.7302  3.0393  1.1800  3.3340  2.3059  1.8240  1.6445  1.5665
 206  0.807520  3.7297  3.0196  1.1980  3.2941  2.2628  1.7796  1.5994  1.5207
 207  0.807658  3.7292  2.9991  1.2162  3.2540  2.2191  1.7344  1.5533  1.4740
 208  0.807792  3.7287  2.9784  1.2349  3.2129  2.1744  1.6882  1.5065  1.4264
 209  0.807922  3.7281  2.9573  1.2538  3.1718  2.1294  1.6414  1.4588  1.3780
 210  0.808048  3.7275  2.9357  1.2730  3.1302  2.0837  1.5939  1.4104  1.3288
 211  0.808171  3.7269  2.9140  1.2924  3.0881  2.0374  1.5458  1.3613  1.2790
 212  0.808290  3.7262  2.8919  1.3121  3.0457  1.9908  1.4971  1.3116  1.2285
 213  0.808405  3.7256  2.8695  1.3320  3.0030  1.9436  1.4479  1.2613  1.1774
 214  0.808517  3.7249  2.8467  1.3521  2.9605  1.8962  1.3981  1.2103  1.1256
 215  0.808626  3.7243  2.8240  1.3725  2.9169  1.8480  1.3477  1.1590  1.0734
 216  0.808730  3.7237  2.8008  1.3930  2.8737  1.7998  1.2970  1.1070  1.0205
 217  0.808752  3.7235  2.7961  1.3970  2.8651  1.7901  1.2867  1.0966  1.0099
 218  0.808772  3.7234  2.7914  1.4012  2.8564  1.7803  1.2765  1.0861  0.9992
 219  0.808793  3.7232  2.7867  1.4054  2.8477  1.7705  1.2662  1.0755  0.9884
 220  0.808813  3.7231  2.7820  1.4095  2.8390  1.7608  1.2559  1.0649  0.9776
 221  0.808834  3.7229  2.7772  1.4138  2.8302  1.7509  1.2455  1.0542  0.9668
 222  0.808853  3.7228  2.7724  1.4180  2.8214  1.7410  1.2350  1.0436  0.9559
 223  0.808874  3.7227  2.7677  1.4221  2.8123  1.7310  1.2246  1.0329  0.9451
 224  0.808894  3.7226  2.7630  1.4264  2.8033  1.7209  1.2140  1.0221  0.9341
 225  0.808914  3.7225  2.7583  1.4307  2.7940  1.7107  1.2033  1.0112  0.9232
 226  0.808934  3.7223  2.7534  1.4350  2.7849  1.7006  1.1927  1.0004  0.9121
 227  0.809124  3.7209  2.7052  1.4776  2.6961  1.6006  1.0872  0.8922  0.8020
 228  0.809302  3.7194  2.6558  1.5214  2.6052  1.4981  0.9790  0.7814  0.6892
 229  0.809466  3.7179  2.6065  1.5647  2.5162  1.3969  0.8719  0.6715  0.5773
 230  0.809620  3.7164  2.5558  1.6094  2.4242  1.2925  0.7616  0.5585  0.4623
 231  0.809755  3.7149  2.5070  1.6522  2.3371  1.1928  0.6561  0.4502  0.3520
 232  0.809881  3.7134  2.4581  1.6953  2.2495  1.0925  0.5502  0.3417  0.2414
 233  0.809995  3.7117  2.4088  1.7377  2.1669  0.9954  0.4463  0.2346  0.1320
 234  0.810102  3.7100  2.3590  1.7807  2.0826  0.8965  0.3407  0.1260  0.0211
 235  0.810199  3.7083  2.3100  1.8230  2.0008  0.7997  0.2372  0.0194 -0.0879
 236  0.810289  3.7066  2.2613  1.8650  1.9205  0.7042  0.1347 -0.0863 -0.1960
 237  0.810372  3.7048  2.2120  1.9073  1.8399  0.6082  0.0314 -0.1929 -0.3050
 238  0.810448  3.7031  2.1632  1.9491  1.7609  0.5138 -0.0706 -0.2983 -0.4130
 239  0.810517  3.7014  2.1158  1.9898  1.6852  0.4226 -0.1696 -0.4007 -0.5179
 240  0.810580  3.6997  2.0708  2.0283  1.6146  0.3368 -0.2632 -0.4977 -0.6174
 241  0.810639  3.6983  2.0288  2.0643  1.5494  0.2567 -0.3510 -0.5887 -0.7106
 242  0.810694  3.6972  1.9974  2.0915  1.4992  0.1954 -0.4178 -0.6577 -0.7811
 243  0.810747  3.6960  1.9650  2.1193  1.4492  0.1335 -0.4857 -0.7282 -0.8534
 244  0.810798  3.6941  1.9169  2.1597  1.3794  0.0458 -0.5831 -0.8297 -0.9578
 245  0.810845  3.6922  1.8699  2.1991  1.3142 -0.0388 -0.6777 -0.9285 -1.0597
 246  0.810886  3.6904  1.8289  2.2333  1.2591 -0.1119 -0.7597 -1.0142 -1.1481
 247  0.810927  3.6894  1.8016  2.2561  1.2242 -0.1603 -0.8141 -1.0711 -1.2068
 248  0.810965  3.6882  1.7741  2.2791  1.1894 -0.2087 -0.8688 -1.1284 -1.2659
 249  0.811003  3.6862  1.7256  2.3196  1.1261 -0.2943 -0.9654 -1.2297 -1.3704
 250  0.811037  3.6842  1.6761  2.3610  1.0639 -0.3809 -1.0638 -1.3328 -1.4769
 251  0.811068  3.6821  1.6274  2.4014  1.0057 -0.4654 -1.1600 -1.4340 -1.5813
 252  0.811096  3.6801  1.5797  2.4411  0.9503 -0.5476 -1.2540 -1.5328 -1.6834
 253  0.811122  3.6781  1.5328  2.4800  0.8984 -0.6274 -1.3459 -1.6296 -1.7834
 254  0.811146  3.6762  1.4875  2.5176  0.8501 -0.7039 -1.4344 -1.7229 -1.8800
 255  0.811168  3.6742  1.4424  2.5549  0.8039 -0.7790 -1.5219 -1.8154 -1.9757
 256  0.811187  3.6723  1.3981  2.5913  0.7621 -0.8508 -1.6069 -1.9055 -2.0693
 257  0.811206  3.6703  1.3546  2.6270  0.7229 -0.9207 -1.6899 -1.9940 -2.1611
 258  0.811223  3.6683  1.3121  2.6619  0.6867 -0.9878 -1.7705 -2.0798 -2.2505
 259  0.811239  3.6664  1.2703  2.6961  0.6531 -1.0531 -1.8494 -2.1642 -2.3383
 260  0.811254  3.6646  1.2291  2.7297  0.6217 -1.1164 -1.9266 -2.2469 -2.4245
 261  0.811267  3.6628  1.1892  2.7622  0.5933 -1.1771 -2.0009 -2.3267 -2.5077
 262  0.811280  3.6609  1.1496  2.7945  0.5669 -1.2364 -2.0743 -2.4057 -2.5902
 263  0.811291  3.6590  1.1108  2.8260  0.5432 -1.2936 -2.1457 -2.4828 -2.6708
 264  0.811302  3.6573  1.0728  2.8569  0.5221 -1.3485 -2.2151 -2.5578 -2.7493
 265  0.811312  3.6555  1.0351  2.8873  0.5038 -1.4018 -2.2832 -2.6317 -2.8269
 266  0.811322  3.6537  0.9983  2.9168  0.4884 -1.4524 -2.3487 -2.7032 -2.9020
 267  0.811330  3.6518  0.9620  2.9459  0.4754 -1.5014 -2.4130 -2.7735 -2.9760
 268  0.811338  3.6500  0.9263  2.9743  0.4659 -1.5478 -2.4749 -2.8417 -3.0480
 269  0.811346  3.6481  0.8910  3.0022  0.4590 -1.5924 -2.5353 -2.9084 -3.1186
